"Label (Grouping)","Total"
"    ZCTA5 02050","25,956"
"ZCTA5 02052",""
"    ZCTA5 02052","12,799"
"ZCTA5 02053",""
"    ZCTA5 02053","13,115"
"ZCTA5 02054",""
"    ZCTA5 02054","8,460"
"ZCTA5 02056",""
"    ZCTA5 02056","11,662"
"ZCTA5 02061",""
"    ZCTA5 02061","11,351"
"ZCTA5 02062",""
"    ZCTA5 02062","31,611"
"ZCTA5 02066",""
"    ZCTA5 02066","18,561"
"ZCTA5 02067",""
"    ZCTA5 02067","18,553"
"ZCTA5 02071",""
"    ZCTA5 02071","968"
"ZCTA5 02072",""
"    ZCTA5 02072","29,281"
"ZCTA5 02081",""
"    ZCTA5 02081","20,584"
"ZCTA5 02090",""
"    ZCTA5 02090","16,266"
"ZCTA5 02093",""
"    ZCTA5 02093","12,178"
"ZCTA5 02108",""
"    ZCTA5 02108","4,228"
"ZCTA5 02109",""
"    ZCTA5 02109","3,921"
"ZCTA5 02110",""
"    ZCTA5 02110","2,921"
"ZCTA5 02111",""
"    ZCTA5 02111","9,716"
"ZCTA5 02113",""
